Command,Finished,Error,Completion Time,Turnaround Time,Waiting Time,Response Time
"sleep 1",Yes,No,13681351,13681351,0,0
"sleep 2",Yes,No,13683354,2003,0,13681351
"sleep 3",Yes,No,13686357,3003,0,13683354
"sleep 4",Yes,No,13690359,4002,0,13686357
"echo 'Hello, World!'",Yes,No,13690362,3,0,13690359
"ls -l",Yes,No,13690407,45,0,13690362
"sleep 3 && echo 'Done sleeping 3'",Yes,No,13693411,3004,0,13690407
"sleep 4 && echo 'Done sleeping 4'",Yes,No,13697415,4004,0,13693411
"(sleep 5 &)",Yes,No,13697417,2,0,13697415
"(sleep 6 &)",Yes,No,13697419,2,0,13697417
"nonexistent_command",No,Yes,13697534,115,0,13697419
"sleep 1 && non_existent_command",No,Yes,13698652,1118,0,13697534
