Command,Finished,Error,Completion Time,Turnaround Time,Waiting Time,Response Time
"sleep 1",Yes,Yes,13706335,13706335,13705335,0
"sleep 2",Yes,Yes,13710525,4190,3190,13706335
"sleep 3",Yes,Yes,13711525,4689,3689,13706836
"sleep 4",Yes,Yes,13712527,5190,4190,13707337
"echo 'Hello, World!'",Yes,No,13707841,4,18446744073709550620,13707837
"ls -l",Yes,No,13707886,45,18446744073709550661,13707841
"sleep 3 && echo 'Done sleeping 3'",Yes,Yes,13713527,5641,4641,13707886
"sleep 4 && echo 'Done sleeping 4'",Yes,Yes,13714528,6140,5140,13708388
"(sleep 5 &)",Yes,No,13708891,3,18446744073709550619,13708888
"(sleep 6 &)",Yes,No,13708893,2,18446744073709550618,13708891
"nonexistent_command",Yes,Yes,13709024,131,18446744073709550747,13708893
"sleep 1 && non_existent_command",Yes,Yes,13715530,6506,5506,13709024
